mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,2B,Haute-Corse,100.0,2021-10-31,100.0,2020-10-31,0.0,0.0,100.0,0.0,2020-10-31,100.0,,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,2B,Haute-Corse,32.0,2021-10-31,5.0,2019-11-30,27.0,540.0,32.0,0.0,2020-11-30,62.0,47.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,2B,Haute-Corse,90.0,2021-09-30,85.0,2019-09-30,5.0,6.0,90.0,0.0,2020-09-30,100.0,33.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,2B,Haute-Corse,24.0,2021-09-30,24.0,2018-03-31,0.0,0.0,,,,,,,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,2B,Haute-Corse,27.0,2021-09-30,24.0,2017-09-30,3.0,12.0,27.0,0.0,2020-09-30,28.0,75.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,2B,Haute-Corse,2.0,2021-09-30,1.0,2017-09-30,1.0,100.0,1.0,100.0,2020-09-30,2.0,100.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,2B,Haute-Corse,50.3,2020-10-31,48.2,2017-10-31,2.0,4.0,49.9,1.0,2019-10-31,47.0,100.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,2B,Haute-Corse,259.0,2021-12-31,298.0,2017-12-31,-39.0,-13.0,264.0,-2.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,2B,Haute-Corse,15.0,2021-10-31,0.0,,15.0,,,,,73.0,21.0,2022-12-31,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,2B,Haute-Corse,437.0,2021-10-31,41.0,2021-02-28,396.0,966.0,184.0,138.0,2021-04-30,453.0,96.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,2B,Haute-Corse,67.0,2021-10-31,109.0,2021-01-31,-42.0,-39.0,56.0,20.0,2021-04-30,114.0,0.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,2B,Haute-Corse,932.0,2020-12-31,684.0,2017-12-31,248.0,36.0,848.0,10.0,2019-12-31,919.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,2B,Haute-Corse,5093.0,2021-07-31,5236.0,2019-07-31,-143.0,-3.0,3850.0,32.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,2B,Haute-Corse,277.0,2021-06-30,226.0,2017-01-31,51.0,23.0,248.0,12.0,2021-02-28,428.0,25.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,2B,Haute-Corse,56498.0,2021-12-31,0.0,2017-01-01,56498.0,,,,,71469.0,79.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,2B,Haute-Corse,19.0,2021-09-30,14.0,2017-12-31,5.0,36.0,16.0,19.0,2020-09-30,37.0,22.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,2B,Haute-Corse,4536.0,2021-11-30,0.0,2018-03-31,4536.0,,1758.0,158.0,2020-09-30,4150.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,2B,Haute-Corse,149.0,2021-11-30,0.0,,149.0,,,,,277.0,54.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2B,Haute-Corse,170000.0,2021-06-30,0.0,2017-06-30,170000.0,,170000.0,0.0,2020-06-30,170000.0,100.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,2B,Haute-Corse,14.9,2020-12-31,8.7,2017-12-31,6.0,71.0,11.6,28.0,2019-12-31,15.0,98.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,2B,Haute-Corse,473.0,2020-12-31,264.0,2017-12-31,209.0,79.0,,,,558.0,71.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,2B,Haute-Corse,96.03,2020-12-31,0.0,2017-12-31,96.0,,,,,99.0,97.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,2B,Haute-Corse,371142.0,2021-10-31,290221.0,2017-12-31,80921.0,28.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,2B,Haute-Corse,16.0,2021-11-30,12.0,2017-11-30,4.0,33.0,,,,,,,atteintes aux personnes entre janvier et novembre
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,2B,Haute-Corse,54.0,2021-11-30,42.0,2017-11-30,12.0,29.0,,,,,,,atteintes aux biens entre janvier et novembre
