mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,32,Gers,100.0,2020-10-31,100.0,2019-10-31,0.0,0.0,,,,100.0,,2021-10-31,% des classes
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de grande section en REP dédoublées,tx-gs-rep,32,Gers,0.0,2020-11-30,0.0,2019-11-30,0.0,,,,,50.0,0.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,32,Gers,88.0,2020-09-30,83.0,2019-09-30,5.0,6.0,,,,100.0,29.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,32,Gers,33.0,2020-09-30,26.0,2018-03-31,7.0,27.0,,,,34.0,88.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,32,Gers,26.0,2020-09-30,19.0,2017-09-30,7.0,37.0,,,,29.0,70.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,32,Gers,1.0,2020-09-30,1.0,2017-09-30,0.0,0.0,,,,2.0,0.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,32,Gers,43.0,2019-10-31,43.0,2017-10-31,0.0,0.0,,,,,,,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,32,Gers,386.0,2020-12-31,272.0,2017-12-31,114.0,42.0,,,,,,,jeunes
Aide de France Relance aux entreprises,Nombre d'entreprises industrielles et organismes agricoles bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,32,Gers,7.0,2021-03-31,0.0,,7.0,,,,,,,,entreprises industrielles et agricoles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,32,Gers,102.0,2021-04-30,23.0,2021-02-28,79.0,343.0,,,,325.0,26.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et un plan d'action individualisé,nb-diagnostics-individualises,32,Gers,44.0,2021-04-30,3.0,2021-01-31,41.0,1367.0,,,,108.0,39.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,32,Gers,1172.0,2020-12-31,709.0,2017-12-31,463.0,65.0,869.0,35.0,2019-12-31,,,,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,32,Gers,2248.0,2020-12-31,1900.0,2018-12-31,348.0,18.0,,,,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,32,Gers,474.0,2020-12-31,446.0,2017-01-31,28.0,6.0,,,,,,,bénéficiaires
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,32,Gers,73928.0,2020-12-31,0.0,2017-01-01,73928.0,,,,,89061.0,83.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,32,Gers,86.0,2021-03-31,38.0,2017-12-31,48.0,126.0,83.0,4.0,2020-09-30,90.0,92.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,32,Gers,4475.0,2021-03-31,0.0,2018-03-31,4475.0,,3843.0,16.0,2020-09-30,4259.0,105.0,2022-06-30,primes et bonus
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,32,Gers,190000.0,2020-12-31,190000.0,2017-06-30,0.0,0.0,190000.0,0.0,2020-06-30,190000.0,,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,32,Gers,20.7,2019-12-31,15.4,2017-12-31,5.0,34.0,,,,,,,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,32,Gers,1646.0,2019-12-31,1191.0,2017-12-31,455.0,38.0,,,,,,,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,32,Gers,99.69,2020-12-31,0.0,2017-12-31,100.0,,,,,99.0,101.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,32,Gers,37070.0,2021-02-28,63485.0,2017-03-31,-26415.0,-42.0,,,,,,,heures de patrouille dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,32,Gers,35.0,2021-03-31,0.0,,35.0,,,,,,,,amendes dressées dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,32,Gers,1.0,2020-12-31,,,,,,,,,,,contrôles dans l'année
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,32,Gers,11.0,2020-12-31,16.0,2017-12-31,-5.0,-31.0,21.0,-48.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d'intérêt général proposés en tant que peine,nb-postes-tig,32,Gers,54.0,2021-03-31,54.0,2021-03-31,0.0,0.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,32,Gers,7.0,2021-03-31,2.0,2020-12-31,5.0,250.0,,,,,,,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,32,Gers,14.63,2020-12-31,7.41,2019-01-31,7.0,97.0,13.39,9.0,2020-09-30,40.0,22.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins dentaires,tx-equipements-dentaire,32,Gers,61.54,2020-12-31,35.67,2019-04-30,26.0,73.0,63.41,-3.0,2020-09-30,45.0,277.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,32,Gers,13.26,2020-12-31,18.41,2020-01-31,-5.0,-28.0,14.81,-10.0,2020-09-30,20.0,-324.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,32,Gers,7.0,2020-12-31,3.0,2017-06-30,4.0,133.0,7.0,0.0,2020-06-30,8.0,80.0,2022-12-31,maisons de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,32,Gers,552.0,2020-12-31,553.0,2019-12-31,-1.0,-0.0,395.0,40.0,2020-09-30,680.0,-1.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,32,Gers,2.8,2020-12-31,2.6,2017-12-31,0.0,8.0,3.0,-7.0,2020-09-30,3.0,50.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,32,Gers,1071.0,2021-03-31,0.0,,1071.0,,,,,,,,dossiers validés
Offrir un logement aux sans-abri : Logement d’abord,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,32,Gers,53.0,2020-12-31,57.0,2017-12-31,-4.0,-7.0,55.0,-4.0,2019-12-31,,,,personnes dans l'année
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,32,Gers,83.0,2019-12-31,6.0,2017-12-31,77.0,1283.0,,,,100.0,82.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,32,Gers,49.0,2020-12-31,6.0,2017-12-31,43.0,717.0,46.0,7.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,32,Gers,15.0,2021-04-30,0.0,2017-01-01,15.0,,11.0,36.0,2020-09-30,22.0,68.0,2022-12-31,labellisations
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,32,Gers,347.0,2021-03-31,0.0,,347.0,,,,,,,,logements
