mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,2A,Corse-du-Sud,100.0,2021-10-31,100.0,2020-10-31,0.0,0.0,100.0,0.0,2020-10-31,100.0,,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,2A,Corse-du-Sud,23.0,2021-10-31,3.0,2019-11-30,20.0,667.0,9.0,156.0,2020-11-30,60.0,35.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,2A,Corse-du-Sud,89.0,2021-09-30,79.0,2019-09-30,10.0,13.0,89.0,0.0,2020-09-30,100.0,48.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,2A,Corse-du-Sud,28.0,2021-09-30,24.0,2018-03-31,4.0,17.0,,,,27.0,100.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,2A,Corse-du-Sud,20.0,2021-09-30,20.0,2017-09-30,0.0,0.0,20.0,0.0,2020-09-30,20.0,,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,2A,Corse-du-Sud,1.0,2021-09-30,1.0,2017-09-30,0.0,0.0,1.0,0.0,2020-09-30,2.0,0.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,2A,Corse-du-Sud,50.3,2020-10-31,48.2,2017-10-31,2.0,4.0,49.9,1.0,2019-10-31,47.0,100.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,2A,Corse-du-Sud,194.0,2021-12-31,161.0,2017-12-31,33.0,20.0,142.0,37.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,2A,Corse-du-Sud,8.0,2021-11-30,0.0,2020-10-31,8.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,2A,Corse-du-Sud,341.0,2021-12-31,0.0,2020-09-30,341.0,,112.0,204.0,2021-04-30,457.0,75.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,2A,Corse-du-Sud,86.0,2021-12-31,0.0,2020-09-30,86.0,,55.0,56.0,2021-04-30,129.0,67.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,2A,Corse-du-Sud,777.0,2021-09-30,739.0,2017-12-31,38.0,5.0,993.0,-22.0,2020-12-31,930.0,20.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,2A,Corse-du-Sud,6892.0,2021-07-31,6787.0,2019-07-31,105.0,2.0,4974.0,39.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,2A,Corse-du-Sud,270.0,2021-09-30,166.0,2017-01-31,104.0,63.0,239.0,13.0,2021-02-28,395.0,45.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,2A,Corse-du-Sud,46886.0,2021-12-31,0.0,2017-12-31,46886.0,,,,,63059.0,74.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,2A,Corse-du-Sud,35.0,2021-09-30,2.0,2017-12-31,33.0,1650.0,2.0,1650.0,2020-09-30,33.0,100.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,2A,Corse-du-Sud,2638.0,2021-12-31,0.0,2018-03-31,2638.0,,1543.0,71.0,2020-09-30,3621.0,73.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,2A,Corse-du-Sud,143.0,2021-11-30,31.0,2019-09-30,112.0,361.0,,,,241.0,53.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2A,Corse-du-Sud,150000.0,2021-06-30,0.0,2017-06-30,150000.0,,150000.0,0.0,2020-06-30,150000.0,100.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,2A,Corse-du-Sud,23.3,2020-12-31,13.7,2017-12-31,10.0,70.0,20.3,15.0,2019-12-31,15.0,100.0,2022-12-31,% de surface agricole
