mesure,indicateur,id_indicateur,code_departement,libelle_departement,date,valeur,unite
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2017-12-31,4.5,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2018-12-31,4.4,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2019-12-31,5.2,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2020-09-30,3.7,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2020-12-31,3.5,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2021-03-31,3.52,mois de traitement
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,84,Vaucluse,2021-06-30,3.81,mois de traitement
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,84,Vaucluse,2020-12-31,0.0,centres de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,84,Vaucluse,2021-06-30,0.0,centres de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2017-06-30,2.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2017-12-31,4.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2018-06-30,4.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2018-12-31,9.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2019-06-30,9.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2019-12-31,10.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2020-06-30,14.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2020-12-31,18.0,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,84,Vaucluse,2021-06-30,19.0,maisons de santé
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2020-09-30,0.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2020-10-31,0.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2020-11-30,0.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2020-12-31,12.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-01-31,16.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-02-28,25.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-03-31,30.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-04-30,38.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-05-31,39.0,bénéficiaires
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,84,Vaucluse,2021-06-30,44.0,bénéficiaires
