mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,84,Auvergne-Rhône-Alpes,4995.0,2021-09-30,3809.0,2017-12-31,1186.0,31.0,5103.0,92.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,84,Auvergne-Rhône-Alpes,1197526.0,2021-12-31,0.0,2017-12-31,1197526.0,,1030199.0,100.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,84,Auvergne-Rhône-Alpes,166928.0,2021-11-30,0.0,2018-03-31,166928.0,,180043.0,93.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,84,Auvergne-Rhône-Alpes,5669.0,2021-11-30,0.0,,5669.0,,12003.0,47.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,84,Auvergne-Rhône-Alpes,3780000.0,2021-06-30,790000.0,2017-06-30,2990000.0,378.0,7870000.0,42.0,2022-12-31,habitants
Plan de soutien aux petites lignes ferroviaires,Nombre de kilomètres de lignes rénovées,nb-km-lignes-regenerees,84,Auvergne-Rhône-Alpes,139.0,2021-11-30,40.0,2017-12-31,99.0,248.0,189.0,66.0,2022-12-31,kilomètres
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,32,Hauts-de-France,4549.0,2021-09-30,3515.0,2017-12-31,1034.0,29.0,4778.0,82.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,32,Hauts-de-France,117450.0,2021-11-30,0.0,2018-03-31,117450.0,,132986.0,88.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,32,Hauts-de-France,4187.0,2021-11-30,0.0,,4187.0,,8866.0,47.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,32,Hauts-de-France,1900000.0,2021-06-30,940000.0,2017-06-30,960000.0,102.0,6010000.0,19.0,2022-12-31,habitants
